"","en_tweet","friends_count","url","description","verified","eng_rate","n_hashtags","tweet_length"
"89",TRUE,3652,TRUE,TRUE,TRUE,0.00742776498551586,0,139
"90",FALSE,3471,TRUE,TRUE,FALSE,0.0286615075952995,9,269
"91",TRUE,2769,TRUE,TRUE,FALSE,0.0331867584833651,1,286
"92",TRUE,708,TRUE,TRUE,FALSE,0.0838222967309304,13,298
"93",TRUE,1578,FALSE,TRUE,FALSE,3.43980343980344,1,139
"94",TRUE,1404,TRUE,TRUE,FALSE,0,1,81
"95",TRUE,796,TRUE,TRUE,TRUE,0,6,266
"96",TRUE,298,TRUE,TRUE,FALSE,0,5,145
"97",FALSE,91,FALSE,TRUE,FALSE,8.33333333333333,9,140
"98",TRUE,654,FALSE,TRUE,FALSE,2.10970464135021,1,139
"99",TRUE,5003,FALSE,TRUE,FALSE,2.54777070063694,0,140
"100",TRUE,689,TRUE,TRUE,TRUE,0.000537223692424394,4,283
"101",TRUE,2998,TRUE,TRUE,TRUE,0.0464714864236872,3,277
"102",TRUE,700,FALSE,TRUE,FALSE,7.93103448275862,3,129
"103",TRUE,117,TRUE,TRUE,FALSE,86.6666666666667,7,140
"104",TRUE,3495,FALSE,TRUE,FALSE,0.213219616204691,2,139
"105",TRUE,67,FALSE,FALSE,FALSE,475,3,140
"106",TRUE,197,TRUE,TRUE,FALSE,3.40909090909091,4,140
"107",TRUE,1517,TRUE,TRUE,FALSE,0.0256871307474955,3,140
"108",FALSE,58,FALSE,FALSE,FALSE,1052.94117647059,0,140
"109",TRUE,104,FALSE,FALSE,FALSE,7.14285714285714,0,140
"110",TRUE,1526,TRUE,TRUE,FALSE,3.93700787401575,1,140
"111",FALSE,275,FALSE,FALSE,FALSE,0,2,53
"112",TRUE,8939,TRUE,TRUE,FALSE,0.1114590520673,5,140
"113",TRUE,48,TRUE,TRUE,FALSE,10,2,300
"114",TRUE,487,FALSE,TRUE,FALSE,1.51515151515152,1,140
"115",TRUE,5392,TRUE,TRUE,FALSE,0.107080712086735,1,140
"116",TRUE,339,TRUE,TRUE,FALSE,0,6,290
"117",FALSE,469,FALSE,FALSE,FALSE,1.22699386503067,4,140
"118",TRUE,214,FALSE,TRUE,FALSE,20.9944751381215,3,140
"119",FALSE,913,FALSE,FALSE,FALSE,3.94088669950739,11,140
"120",TRUE,211,TRUE,TRUE,FALSE,0.763358778625954,0,140
"121",TRUE,62,TRUE,TRUE,FALSE,0.0685400959561343,7,274
"122",TRUE,82,FALSE,TRUE,FALSE,11.4285714285714,11,296
"123",TRUE,27,FALSE,FALSE,FALSE,55.5555555555556,3,140
"124",TRUE,606,TRUE,TRUE,FALSE,0.185873605947955,6,270
"125",TRUE,7253,TRUE,TRUE,FALSE,0.0235710076605775,2,139
"126",TRUE,242,FALSE,TRUE,FALSE,3.67647058823529,4,256
"127",TRUE,168,TRUE,TRUE,FALSE,0,4,308
"128",TRUE,1393,FALSE,TRUE,FALSE,0,4,110
"129",TRUE,1000,FALSE,FALSE,FALSE,6.14035087719298,3,140
"130",TRUE,244,FALSE,FALSE,FALSE,0,6,173
"131",TRUE,4997,FALSE,TRUE,FALSE,2.00114351057747,0,140
"132",TRUE,678,FALSE,TRUE,FALSE,0.451904454486766,1,140
"133",FALSE,45,FALSE,FALSE,FALSE,745.833333333333,0,140
"134",TRUE,477,FALSE,TRUE,FALSE,3.57941834451902,1,140
"135",FALSE,4370,FALSE,TRUE,FALSE,0.0229937916762474,6,140
"136",FALSE,66,FALSE,TRUE,FALSE,2983.33333333333,0,140
"137",TRUE,117,TRUE,TRUE,FALSE,280,4,140
"138",TRUE,1527,FALSE,TRUE,FALSE,1.45772594752187,4,301
"139",TRUE,335,FALSE,TRUE,FALSE,121.212121212121,0,140
"140",FALSE,1056,FALSE,TRUE,FALSE,4.34782608695652,8,140
"141",TRUE,24,TRUE,TRUE,TRUE,1.49735760422783,2,140
"142",TRUE,117,TRUE,TRUE,FALSE,493.333333333333,1,140
"143",TRUE,242,FALSE,TRUE,FALSE,0,4,261
"144",TRUE,4116,TRUE,TRUE,FALSE,3.17460317460317,0,140
"145",FALSE,101,TRUE,TRUE,TRUE,0,3,170
"146",TRUE,7011,TRUE,TRUE,FALSE,0.027897893709025,5,204
"147",TRUE,1131,TRUE,TRUE,FALSE,0.189753320683112,15,229
"148",TRUE,976,TRUE,TRUE,FALSE,0,6,163
"149",TRUE,2035,FALSE,TRUE,FALSE,1.07719928186715,0,140
"150",FALSE,293,TRUE,TRUE,FALSE,0,9,275
"151",TRUE,30,TRUE,TRUE,FALSE,0.188501413760603,2,276
"152",FALSE,8939,TRUE,TRUE,FALSE,0.0477681651717,2,139
"153",FALSE,98,FALSE,FALSE,FALSE,325,8,140
"154",TRUE,2063,TRUE,TRUE,FALSE,0,1,304
"155",TRUE,450,TRUE,TRUE,TRUE,0.00413069519600149,4,285
"156",TRUE,1088,TRUE,TRUE,FALSE,0.0206440957886045,2,140
"157",FALSE,117,TRUE,TRUE,FALSE,260,8,140
"158",TRUE,22,TRUE,TRUE,FALSE,2.17391304347826,6,256
"159",TRUE,292,TRUE,TRUE,FALSE,0.444444444444444,2,140
"160",TRUE,117,TRUE,TRUE,FALSE,20,0,140
"161",TRUE,8939,TRUE,TRUE,FALSE,0.0477681651717,6,140
"162",TRUE,342,FALSE,TRUE,FALSE,0,2,238
"163",TRUE,1290,TRUE,TRUE,FALSE,0.0115008625646924,2,301
"164",TRUE,298,TRUE,TRUE,FALSE,0,5,225
"165",TRUE,30565,TRUE,TRUE,FALSE,0.00341833595405756,6,279
"166",FALSE,5783,TRUE,TRUE,FALSE,0.0286368843069874,10,215
"167",TRUE,1655,FALSE,TRUE,FALSE,1.34003350083752,4,140
"168",FALSE,28,FALSE,TRUE,FALSE,975,8,140
"169",FALSE,832,FALSE,TRUE,FALSE,30.4421768707483,0,140
"170",TRUE,117,TRUE,TRUE,FALSE,33.3333333333333,2,139
"171",FALSE,17,TRUE,TRUE,TRUE,0,1,280
"172",TRUE,117,TRUE,TRUE,FALSE,80,1,140
"173",FALSE,203,FALSE,TRUE,FALSE,109.815950920245,0,140
"174",FALSE,216,FALSE,TRUE,FALSE,80.2690582959641,0,140
"175",FALSE,117,TRUE,TRUE,FALSE,240,10,140
"176",TRUE,1987,FALSE,TRUE,FALSE,0.919732441471572,0,148
"177",TRUE,2112,TRUE,TRUE,FALSE,0.793021411578113,1,140
"178",TRUE,27,FALSE,FALSE,FALSE,109.090909090909,1,140
"179",FALSE,903,FALSE,FALSE,FALSE,14.5056726094003,0,140
"180",TRUE,38,FALSE,FALSE,FALSE,38.4615384615385,3,140
"181",TRUE,81,FALSE,FALSE,FALSE,150,1,140
"182",TRUE,550,TRUE,TRUE,FALSE,0,2,170
"183",TRUE,737,TRUE,TRUE,FALSE,0.398406374501992,5,258
"184",FALSE,234,FALSE,FALSE,FALSE,192.47311827957,0,140
"185",TRUE,729,TRUE,TRUE,FALSE,0.335570469798658,1,140
"186",TRUE,84,TRUE,TRUE,FALSE,2.56410256410256,6,303
"187",TRUE,103,FALSE,TRUE,FALSE,7.9646017699115,2,140
"188",TRUE,238,FALSE,TRUE,FALSE,2.66222961730449,1,140
"189",TRUE,420,TRUE,TRUE,FALSE,1.47058823529412,4,139
"190",TRUE,1283,TRUE,TRUE,FALSE,0.289017341040462,2,140
"191",TRUE,1916,TRUE,TRUE,FALSE,1.67014613778706,0,139
"192",TRUE,363,TRUE,TRUE,FALSE,2.22007722007722,1,144
"193",TRUE,97,TRUE,TRUE,FALSE,0.670859538784067,2,260
"194",TRUE,8723,FALSE,TRUE,FALSE,0.241545893719807,2,139
"195",FALSE,288,FALSE,FALSE,FALSE,106.547619047619,0,140
"196",TRUE,242,FALSE,TRUE,FALSE,9.92647058823529,5,296
"197",TRUE,498,TRUE,TRUE,FALSE,0.298507462686567,5,194
"198",TRUE,109433,TRUE,TRUE,FALSE,0.00589106577795731,2,167
"199",FALSE,2140,FALSE,TRUE,FALSE,0.248756218905473,2,96
"200",TRUE,117,TRUE,TRUE,FALSE,6.25,6,304
"201",TRUE,188,TRUE,TRUE,FALSE,3.03030303030303,4,255
"202",TRUE,1131,TRUE,TRUE,FALSE,0.094876660341556,15,241
"203",TRUE,1121,TRUE,TRUE,FALSE,4.11764705882353,1,140
"204",TRUE,1420,TRUE,TRUE,FALSE,0.320898515844364,3,302
"205",TRUE,1208,FALSE,TRUE,FALSE,10.9947643979058,0,139
"206",TRUE,329,TRUE,TRUE,FALSE,2.79214064115822,0,140
"207",TRUE,489,FALSE,TRUE,FALSE,32.1739130434783,1,139
"208",TRUE,2266,TRUE,TRUE,FALSE,0.146735143066764,1,140
"209",TRUE,128,FALSE,TRUE,FALSE,0.0377073906485671,1,140
"210",TRUE,249,FALSE,TRUE,FALSE,2.41545893719807,2,286
"211",TRUE,993,TRUE,TRUE,FALSE,1.31530873218853,3,251
"212",TRUE,5002,TRUE,TRUE,FALSE,1.38248847926267,2,140
"213",TRUE,19,FALSE,TRUE,FALSE,0.182815356489945,8,140
"214",TRUE,19,FALSE,TRUE,FALSE,0.274223034734918,9,212
"215",TRUE,530,TRUE,TRUE,FALSE,0.672043010752688,1,140
"216",TRUE,1071,FALSE,TRUE,FALSE,1.20481927710843,1,140
"217",TRUE,1610,TRUE,TRUE,TRUE,0.171914585595367,1,296
"218",TRUE,188,TRUE,TRUE,FALSE,3.03030303030303,4,228
"219",FALSE,19,FALSE,TRUE,FALSE,1.73674588665448,7,140
"220",TRUE,577,FALSE,TRUE,FALSE,0.276370336250576,2,140
"221",TRUE,278,TRUE,TRUE,FALSE,0.36101083032491,4,140
"222",FALSE,2194,FALSE,TRUE,FALSE,14.2063492063492,0,140
"223",TRUE,11348,TRUE,TRUE,FALSE,0.0782006405004841,3,147
"224",TRUE,1161,TRUE,TRUE,FALSE,0.332991803278688,4,278
"225",TRUE,1781,TRUE,TRUE,TRUE,0.0465270854104354,3,140
"226",TRUE,167,FALSE,TRUE,FALSE,0.630914826498423,3,124
"227",TRUE,249,FALSE,TRUE,FALSE,1.93236714975845,5,231
"228",TRUE,95,FALSE,TRUE,FALSE,125,0,140
"229",TRUE,491,FALSE,TRUE,FALSE,1.98347107438017,2,140
"230",TRUE,178,FALSE,TRUE,FALSE,4.32432432432432,2,139
"231",TRUE,223,FALSE,TRUE,FALSE,50.6329113924051,0,140
"232",FALSE,58,FALSE,FALSE,FALSE,5966.66666666667,0,140
"233",TRUE,1265,TRUE,TRUE,FALSE,3.12124849939976,2,144
"234",FALSE,2887,TRUE,TRUE,FALSE,0.102494021182098,2,139
"235",TRUE,839,TRUE,TRUE,FALSE,0.923694779116466,7,301
"236",TRUE,126,TRUE,TRUE,FALSE,5.26315789473684,2,140
"237",TRUE,488,TRUE,TRUE,FALSE,2.58215962441315,2,122
"238",TRUE,1600,FALSE,TRUE,FALSE,30.3030303030303,0,140
"239",FALSE,803,FALSE,TRUE,FALSE,34.8927875243665,0,140
"240",FALSE,832,FALSE,TRUE,FALSE,0.180750112968821,2,84
"241",FALSE,2603,TRUE,TRUE,FALSE,25.7183908045977,0,140
"242",TRUE,1,FALSE,TRUE,FALSE,0.112208258527828,1,140
"243",TRUE,6,TRUE,TRUE,TRUE,0.00014000925461173,3,129
"244",TRUE,200,TRUE,TRUE,FALSE,0.552486187845304,1,140
"245",FALSE,339,FALSE,FALSE,FALSE,124.305555555556,0,140
"246",TRUE,5797,FALSE,TRUE,FALSE,0.849649057997784,2,140
"247",TRUE,1030,TRUE,TRUE,FALSE,0.279552715654952,3,267
"248",TRUE,1298,TRUE,TRUE,TRUE,0.000427011920037748,1,140
"249",TRUE,903,TRUE,TRUE,FALSE,0.737463126843658,1,140
"250",TRUE,5605,TRUE,TRUE,FALSE,0.33195020746888,4,278
"251",TRUE,199,TRUE,TRUE,FALSE,0.0834028356964137,15,279
"252",TRUE,81,TRUE,TRUE,FALSE,0.0426803243704652,15,279
"253",TRUE,1818,TRUE,TRUE,FALSE,0.668449197860963,1,140
"254",TRUE,596,TRUE,TRUE,FALSE,1.29198966408269,3,140
"255",FALSE,1606,FALSE,TRUE,FALSE,14.891846921797,0,140
"256",TRUE,236,TRUE,TRUE,FALSE,1.68612191958495,2,276
"257",TRUE,2304,TRUE,TRUE,FALSE,2.53807106598985,2,143
"258",TRUE,3422,FALSE,TRUE,FALSE,1.12107623318386,1,320
"259",TRUE,881,TRUE,TRUE,FALSE,0.460829493087558,3,296
"260",FALSE,595,FALSE,TRUE,FALSE,25.5349500713267,0,140
"261",TRUE,4150,FALSE,TRUE,FALSE,1.03626943005181,2,139
"262",TRUE,22249,TRUE,TRUE,FALSE,0.0951431678144255,3,147
"263",FALSE,51,TRUE,TRUE,FALSE,5.66037735849057,0,139
